Configuration,Location/Bldng_name,Seller Name,Area,Area type,Price (in L),Price Unit
2 BHK Residential Apartment in Keshar Bagh,Akruti Lal Bagh Life,Akruti Developers,"1,186-1,350",(110-125 sq.m.) Super built-up Area,? 53,  - 
Residential land / Plot in AB Bypass Road,Omaxe manglia Court,Aarambh Realty,"1,453-4,300",(135-399 sq.m.) Plot Area,? 23.00,0.25
Residential land / Plot in Super Corridor,,Ragini,400 sq.ft. ,(37 sq.m.) Plot Area,? 5.50,5 La
Residential land / Plot in Mayakhedi,Omaxe City 1,Aarambh Realty,"807-3,100 s",(75-288 sq.m.) Plot Area,? 17,  - 
Residential land / Plot in Sawer,Dhan Residency,Zenith Financial & sales services,"800-1,500 s",(74-139 sq.m.) Plot Area,? 10.00,0.32
Residential land / Plot in Sanver,Millennium City,Rajendra Yadav,600 sq.ft. ,(56 sq.m.) Plot Area,? 9.90,9 La
5 Bedroom Independent House in Kanadiya,Apollo Golf Links,Apollo Creations Pvt. Ltd.,"5,600 sq.ft",(520 sq.m.) Built-up Area,? 2.50,5 Cr
Residential land / Plot in Mayakhedi,Omaxe City 1,Sachin Bansal & Associates,"800-3,100 s",(74-288 sq.m.) Plot Area,Price,e on
3 BHK Residential Apartment in Keshar Bagh,Akruti Lal Bagh Life,Akruti Developers,"1,355 sq.ft",(126 sq.m.) Super built-up Area,Price,e on
Residential land / Plot in Kanadiya,Apollo Golf Links,Apollo Creations Pvt. Ltd.,"2,083-7,101",(194-660 sq.m.) Plot Area,? 52.00,0.08
3 BHK Residential Apartment in Nalanda Parisar,Gorani D Ornate,Narendra Gorani,"1,503-1,525",(140-142 sq.m.) Carpet Area,Price,e on
1 BHK Residential Apartment in Khandwa Road,Raheja Blue Heaven,Raheja Buildcon,555 sq.ft. ,(52 sq.m.) Super built-up Area,? 16.00,0.65
2 BHK Residential Apartment in Airport Road,Naad Shri Ramkamal Residency,Naad Builders and Developers,672 sq.ft. ,(62 sq.m.) Super built-up Area,? 16.00,.5 L
2 BHK Independent Builder Floor in Khandwa Road,,Praduyam,"1,580 sq.ft",(147 sq.m.) Super built-up Area,? 51, Lac
